
2019-05-16 19:55:57 : 

[*] Agent info:
  nonce           	7445767061672652
  jitter          	0.0
  servers         	None
  internal_ip     	192.168.226.1 fe80::9442:f8f3:5b23:22d1 192.168.153.1
                                fe80::78a5:53be:b208:43ea 192.168.1.5 fe80::a41d:e79e:d3d7:49a8
                                169.254.182.30 fe80::4d72:dc5a:5819:b61e
  working_hours   	
  session_key     	h:}c3FNTSI75$M=4<ul1RX+Yp?/\2^Z8
  children        	None
  checkin_time    	2019-05-16 19:55:56
  hostname        	LAMEDIM-LT
  id              	2
  delay           	5
  username        	LAMEDIM-LT\User
  kill_date       	
  parent          	None
  process_name    	powershell
  listener        	http
  process_id      	9996
  profile         	/admin/get.php,/news.php,/login/process.php|Mozilla/5.0 (Windows NT
                                6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
  os_details      	Microsoft Windows 10 Home
  lost_limit      	60
  taskings        	None
  name            	P8A21MH4
  language        	powershell
  external_ip     	192.168.153.1
  session_id      	P8A21MH4
  lastseen_time   	2019-05-16 19:55:56
  language_version	5
  high_integrity  	1


[+] Agent P8A21MH4 now active:


2019-05-16 19:56:59 : 
[*] Agent renamed from P8A21MH4 to UACbypass
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:38 AM 190464    EnterpriseModernAppMgmtCSP.dll                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 84480     enterpriseresourcemanager.dll                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:19 AM 79872     eqossnap.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 209920    ErrorDetails.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 46592     ErrorDetailsCore.dll                                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 490496    es.dll                                              
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 20480     EsdSip.dll                                          
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:06 AM  3270144   esent.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 65024     esentprf.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 375296    esentutl.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:18 AM 37376     esevss.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 142848    eShims.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 33792     esrb.rs                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 184832    EthernetMediaManager.dll                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:34 AM 154112    ETWCoreUIComponentsResources.dll                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 78848     ETWESEProviderResources.dll                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 48128     EtwRundown.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 356352    eudcedit.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:25 AM 144896    eUICCsCSP.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:29 AM 78848     EventAggregation.dll                                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 17408     eventcls.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 42496     eventcreate.exe                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 17935     EventViewer_EventDetails.xsl                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 83968     eventvwr.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 145127    eventvwr.msc                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 12:11:01 PM 751696    evr.dll                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 314080    ExecModelClient.dll                                 
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 83456     execmodelproxy.dll                                  
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 66048     expand.exe                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:59 AM 4737536   ExplorerFrame.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 263168    ExSMime.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:44 AM 34304     extrac32.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 24576     ExtrasXmlParser.dll                                 
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:53 AM 8704      f3ahvoas.dll                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:26 AM  599040    facecredentialprovider.dll                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:55 AM 99840     Family.Authentication.dll                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:55 AM 98816     Family.Cache.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 147456    Family.Client.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 260096    Family.SyncEngine.dll                               
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 14336     FamilySafetyExt.dll                                 
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:06 AM  449368    Faultrep.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:26 AM 31232     FaxPrinterInstaller.dll                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:13 AM 24576     fc.exe                                              
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:18 AM  71168     fdBth.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 14336     fdBthProxy.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 35328     FdDevQuery.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 158208    fde.dll                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:44 AM 158720    fdeploy.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 21504     fdPHost.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 59904     fdPnp.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 289280    fdprint.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 68096     fdProxy.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 35328     FDResPub.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:13 AM 108032    fdSSDP.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:24 AM 110080    fdWCN.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 30208     fdWNet.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 152064    fdWSD.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:26 AM 44257     FeatureToastBulldogImg.png                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 246272    feclient.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 68608     ffbroker.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 290304    fhcat.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 430592    fhcfg.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 54272     fhcleanup.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 335872    fhcpl.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 241664    fhengine.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 72704     fhevents.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 65024     fhlisten.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 139776    fhmanagew.exe                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 437760    fhsettingsprovider.dll                              
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 153600    fhshl.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 79872     fhsrchapi.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 69120     fhsrchph.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 120832    fhsvc.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 29696     fhsvcctl.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 59392     fhtask.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 132608    fhuxadapter.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 16896     fhuxapi.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 45568     fhuxcommon.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 78336     fhuxgraphics.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 902656    fhuxpresentation.dll                                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:34 AM 218112    fidocredprov.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:34 AM 33792     FileAppxStreamingDataSource.dll                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 250880    FileHistory.exe                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 556544    filemgmt.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:53 AM 166400    FilterDS.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 17408     find.exe                                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 66560     findnetprinters.dll                                 
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 35328     findstr.exe                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 15872     finger.exe                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 119296    fingerprintcredential.dll                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:18 AM 7168      Firewall.cpl                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:13 AM  552448    FirewallAPI.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 936960    FirewallControlPanel.dll                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:44 AM 21504     fixmapi.exe                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 889344    FlightSettings.dll                                  
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 32008     fltLib.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 30720     fltMC.exe                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 2725888   FluencyDS.dll                                       
-a---- NT AUTHORITY\SYSTEM         6/24/2015 1:31:00 AM  1615016   FM20.DLL                                            
-a---- NT AUTHORITY\SYSTEM         2/20/2010 4:20:18 PM  31616     FM20ENU.DLL                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 75776     fmapi.dll                                           
-a---- BUILTIN\Administrators      3/4/2016 3:51:52 AM   3282032   FMAPO64.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:38 AM 59704     fmifs.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 200704    fms.dll                                             
-a---- BUILTIN\Administrators      5/14/2019 8:11:19 PM  480544    FNTCACHE.DAT                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:11 AM  1903616   FntCache.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 47104     fodhelper.exe                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 112128    Fondue.exe                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:47 AM 807456    fontdrvhost.exe                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 974848    fontext.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 60416     FontGlyphAnimator.dll                               
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 19456     fontgroupsoverride.dll                              
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:32 AM 138240    FontProvider.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 124928    fontsub.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:24 AM 121344    fontview.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 49152     forfiles.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:43 AM 38400     format.com                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 41472     fpb.rs                                              
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:55 AM 123392    fphc.dll                                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:39 AM 254976    framedyn.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 303616    framedynos.dll                                      
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:29 AM  701440    FrameServer.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:44 AM 84480     frprov.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 16896     fsavailux.exe                                       
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:29 AM  316416    FSClient.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 99400     FsIso.exe                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 144909    fsmgmt.msc                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 146944    fsquirt.exe                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:13 AM 183296    fsutil.exe                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:44 AM 32256     fsutilext.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 67584     fthsvc.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 58880     ftp.exe                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 153600    fundisc.dll                                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:36 AM  897536    fveapi.dll                                          
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:36 AM  370688    fveapibase.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 12:11:01 PM 27136     fvecerts.dll                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:36 AM  331776    fvecpl.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 12:10:55 PM 174592    fvenotify.exe                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 12:10:55 PM 67072     fveskybackup.dll                                    
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:36 AM  309760    fveui.dll                                           
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:36 AM  815616    fvewiz.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:34 AM 159744    fwbase.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:19 AM 55296     fwcfg.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 91648     fwmdmcsp.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:34 AM 234496    fwpolicyiomgr.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 469504    FWPUCLNT.DLL                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 99328     FwRemoteSvr.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:56 AM 281600    FXSAPI.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:56 AM 90112     FXSCOM.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:56 AM 650752    FXSCOMEX.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:47 AM 415232    FXSCOMPOSE.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:47 AM 35328     FXSCOMPOSERES.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:47 AM 234496    FXSCOVER.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:56 AM 8192      FXSEVENT.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:56 AM 46592     FXSMON.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:56 AM 925696    FXSRESM.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:56 AM 77824     FXSROUTE.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:56 AM 857088    FXSST.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:56 AM 636928    FXSSVC.exe                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:56 AM 254976    FXST30.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:56 AM 412160    FXSTIFF.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:56 AM 19456     FXSUNATD.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:47 AM 181248    FXSUTILITY.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 59904     g711codc.ax                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:13 AM 306688    GameBarPresenceWriter.exe                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:13 AM 13824     GameBarPresenceWriter.proxy.dll                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:13 AM 12288     GameChatOverlayExt.dll                              
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 128000    GameChatTranscription.dll                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 28672     gamemode.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:13 AM 1292800   GamePanel.exe                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:13 AM 27136     GamePanelExternalHook.dll                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 1480      GameSystemToastIcon.contrast-white.png              
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 1132      GameSystemToastIcon.png                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 25088     gameux.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 163840    gamingtcui.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 88781     gatherNetworkInfo.vbs                               
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 24006     gb2312.uce                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 132096    gcdef.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:32 AM 157024    gdi32.dll                                           
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:21 AM  1671352   gdi32full.dll                                       
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:21 AM  1701888   GdiPlus.dll                                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:17 AM  809784    generaltel.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:58 AM 664168    GenValObj.exe                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 51712     Geocommon.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:34 AM 470528    Geolocation.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 85504     getmac.exe                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 11264     getuname.dll                                        
-a---- BUILTIN\Administrators      9/18/2018 10:03:22 PM 0         GfxValDisplayLog.bin                                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:20 AM 509440    glmf32.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 317440    GlobCollationHost.dll                               
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 146944    globinputhost.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 163328    glu32.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 38400     gmsaclient.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 130112    gpapi.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:18 AM 1089536   gpedit.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 39424     gpprnext.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 224256    gpresult.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 1280000   gpsvc.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 26112     gptext.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 29184     gpupdate.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:32 AM 138752    GraphicsCapture.dll                                 
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:32 AM 93696     GraphicsPerfSvc.dll                                 
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 19456     grb.rs                                              
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 75264     Groupinghc.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 51200     grpconv.exe                                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:14 AM  568632    hal.dll                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:18 AM 20968     HalExtIntcLpioDMA.dll                               
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:18 AM 18920     HalExtPL080.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 1243      HandwritingSystemToastIcon.contrast-white.png       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 912       HandwritingSystemToastIcon.png                      
-a---- BUILTIN\Administrators      3/4/2016 3:51:52 AM   154368    HarmanAudioInterface.dll                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:24 AM 93184     hascsp.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 110592    HashtagDS.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 82944     hbaapi.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 61952     hcproviders.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 299560    HdcpHandler.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 382464    hdwwiz.cpl                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 67584     hdwwiz.exe                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 1460      HeadphoneSystemToastIcon.contrast-white.png         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 1114      HeadphoneSystemToastIcon.png                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 1560      HeadsetSystemToastIcon.contrast-white.png           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 1196      HeadsetSystemToastIcon.png                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 1832      HealthSystemToastIcon.contrast-white.png            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 1660      HealthSystemToastIcon.png                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:34 AM 262656    HeatCore.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 11776     help.exe                                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 55808     HelpPaneProxy.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 620032    hgcpl.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:25 AM 225792    hgprint.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:18 AM 724992    hhctrl.ocx                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:18 AM 55808     hhsetup.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 38912     hid.dll                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:19 AM 209920    hidclass.sys                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:01 AM  46080     hidparse.sys                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 39936     hidphone.tsp                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 34816     hidserv.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:19 AM 43520     hidusb.sys                                          
-a---- BUILTIN\Administrators      3/4/2016 3:51:54 AM   370840    HiFiDAX2API.dll                                     
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:21 AM  101376    hlink.dll                                           
-a---- BUILTIN\Administrators      3/4/2016 3:51:54 AM   366128    HMAPO.dll                                           
-a---- BUILTIN\Administrators      3/4/2016 3:51:54 AM   360352    HMClariFi.dll                                       
-a---- BUILTIN\Administrators      3/4/2016 3:51:54 AM   190936    HMEQ.dll                                            
-a---- BUILTIN\Administrators      3/4/2016 3:51:54 AM   190936    HMEQ_Voice.dll                                      
-a---- BUILTIN\Administrators      3/4/2016 3:51:54 AM   203848    HMHVS.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 59904     hmkd.dll                                            
-a---- BUILTIN\Administrators      3/4/2016 3:51:54 AM   179600    HMLimiter.dll                                       
-a---- BUILTIN\Administrators      3/4/2016 3:51:54 AM   416512    HMUI.dll                                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:18 AM 400384    hnetcfg.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 257536    HNetCfgClient.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:18 AM 16384     hnetmon.dll                                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:33 AM  829440    HologramCompositor.dll                              
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:33 AM  19284480  HologramWorld.dll                                   
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:34 AM  577024    HolographicExtensions.dll                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 12:10:56 PM 419840    HolographicRuntimes.dll                             
